,No
delayed menarche,2082
gastrointestinal cancer metastatic,2083
ear infection,2084
waxy flexibility,2085
puncture site pain,2086
sciatica,2087
lissencephaly,2088
esophageal cancer,2089
alveolitis,2090
intervertebral disc disorder,2091
lipase abnormal,2092
amniorrhexis,2093
haemoglobin s decreased,2094
dehydroepiandrosterone test,2095
imminent abortion,2096
laryngeal granuloma,2097
pulmonary vein occlusion,2098
bronchospasm paradoxical,2099
"follicle centre lymphoma, follicular grade i, ii, iii refractory",2100
necrotising enterocolitis neonatal,2101
cryoglobulins present,2102
vascular fragility,2103
urethral fistula,2104
general physical condition,2105
gambling,2106
pemphigoid,2107
cataract operation complication,2108
cutaneous lupus erythematosus,2109
swollen tear duct,2110
neoplasm prophylaxis,2111
hypertrophic osteoarthropathy,2112
barotrauma,2113
arteriovenous fistula occlusion,2114
ileal perforation,2115
vascular graft occlusion,2116
fracture treatment,2117
ocular sarcoidosis,2118
deafness permanent,2119
patent ductus arteriosus repair,2120
norepinephrine increased,2121
hypochloraemia,2122
mucosal haemorrhage,2123
congenital pyloric stenosis,2124
selenium deficiency,2125
adrenal cyst,2126
blood magnesium decreased,2127
diverticular fistula,2128
injection site ischaemia,2129
clostridium difficile toxin test,2130
ophthalmia neonatorum,2131
cardiac pacemaker replacement,2132
catheter site haematoma,2133
optic nerve disorder,2134
duchenne muscular dystrophy,2135
phlebothrombosis,2136
encephalocele,2137
hepatitis toxic,2138
salivary gland cancer,2139
hepatic enzyme,2140
retroperitoneal haematoma,2141
cervical cyst,2142
cerebral disorder,2143
pyroglutamate increased,2144
feeding tube insertion,2145
blepharospasm,2146
pco2 decreased,2147
rosai-dorfman syndrome,2148
myelodysplastic syndrome unclassifiable,2149
recurrent cancer,2150
decreased libido,2151
tri-iodothyronine free increased,2152
muscle weakness,2153
painful erection,2154
pickwickian syndrome,2155
amyloidosis,2156
liver transplant rejection,2157
application site reaction,2158
international normalised ratio increased,2159
acupuncture,2160
neisseria infection,2161
intranasal hypoaesthesia,2162
plasmapheresis,2163
cerebellar haemangioma,2164
hernia,2165
speech disorder developmental,2166
conjunctival scar,2167
pancreatic haemorrhage,2168
prostatic adenoma,2169
alkalosis hypochloraemic,2170
biopsy small intestine abnormal,2171
fluid intake restriction,2172
hypoplastic left heart syndrome,2173
type iii immune complex mediated reaction,2174
streptokinase antibody increased,2175
food intolerance,2176
hydrocele excision,2177
infertility male,2178
superior mesenteric artery syndrome,2179
pneumonia klebsiella,2180
herpes pharyngitis,2181
hyperlactacidaemia,2182
telangiectases,2183
nasopharyngeal disorder,2184
glucose intolerance,2185
tricuspid valve sclerosis,2186
tethered cord syndrome,2187
choriomeningitis lymphocytic,2188
congenital macrocephaly,2189
spinal cord infection,2190
blood pressure normal,2191
malignant anorectal neoplasm,2192
mycoplasma serology,2193
complications of transplanted lung,2194
allergic cystitis,2195
shunt infection,2196
bladder cancer stage iv,2197
echoencephalogram abnormal,2198
scleroedema,2199
cardiolipin antibody positive,2200
tumour associated fever,2201
peritonsillitis,2202
hypophysectomy,2203
blood pressure systolic abnormal,2204
heart valve incompetence,2205
mucocutaneous rash,2206
dissociative disorder,2207
anti-hbe antibody positive,2208
instillation site reaction,2209
tachycardia foetal,2210
pneumonia escherichia,2211
metal poisoning,2212
focal nodular hyperplasia,2213
duodenal stenosis,2214
sigmoidectomy,2215
catabolic state,2216
myocardial rupture,2217
hypothyroid,2218
vein disorder,2219
chronic granulomatous disease,2220
pulmonary eosinophilia,2221
postoperative hernia,2222
ingrowing nail,2223
congenital vitreous anomaly,2224
panic disorder,2225
carbon dioxide abnormal,2226
faecal fat increased,2227
urethral prolapse,2228
platelet toxicity,2229
eye disorder,2230
cardiac murmur functional,2231
anisocytosis,2232
aortic valve disease mixed,2233
application site abscess,2234
plasmin increased,2235
proctalgia,2236
bile culture positive,2237
congenital mitochondrial cytopathy,2238
intestinal infarction,2239
blood triglycerides increased,2240
ageusia,2241
thromboangiitis obliterans,2242
night blindness,2243
eosinophils urine,2244
iridocele,2245
device connection issue,2246
oesophageal polyp,2247
pupillary reflex impaired,2248
deglutition disorder,2249
anaemia of chronic disease,2250
chorioretinal disorder,2251
retinal ischaemia,2252
vascular pseudoaneurysm,2253
brown-sequard syndrome,2254
allergy to arthropod bite,2255
lipoma excision,2256
angiogram retina abnormal,2257
nasal septal operation,2258
influenza like illness,2259
butterfly rash,2260
haemangioma congenital,2261
giant papillary conjunctivitis,2262
fungal rhinitis,2263
intestinal anastomosis,2264
metastatic pain,2265
high-pitched crying,2266
5q-syndrome,2267
lipomatous hypertrophy of the interatrial septum,2268
protein c deficiency,2269
lipids abnormal,2270
tricuspid valve replacement,2271
congenital cerebrovascular anomaly,2272
aspiration bursa,2273
scintillating scotoma,2274
myofascial spasm,2275
breath sounds,2276
mediastinal haematoma,2277
bradykinesia,2278
splenic injury,2279
coronary artery aneurysm,2280
milk-alkali syndrome,2281
rouleaux formation,2282
meningitis bacterial,2283
amoebiasis,2284
guttate psoriasis,2285
detached retina repair,2286
premature labour,2287
scrotal ulcer,2288
spinocerebellar ataxia,2289
toxicity to various agents,2290
penis deviation,2291
perseveration,2292
genotype drug resistance test,2293
apparent death,2294
malignant cranial nerve neoplasm,2295
electrocardiogram t wave amplitude decreased,2296
coombs direct test positive,2297
oesophagogastroduodenoscopy,2298
omphalitis,2299
prothrombin level increased,2300
tooth injury,2301
breast hyperplasia,2302
herpangina,2303
eye infection bacterial,2304
haemolytic anaemia,2305
struck by lightning,2306
haemorrhagic anaemia,2307
portal shunt,2308
orbital infection,2309
extremity contracture,2310
renal necrosis,2311
delirium febrile,2312
brunner's gland hyperplasia,2313
radicular pain,2314
oropharyngeal cancer stage unspecified,2315
blood thyroid stimulating hormone,2316
lower urinary tract symptoms,2317
prostate cancer,2318
mechanical urticaria,2319
accident at home,2320
pruritus genital,2321
nephritic syndrome,2322
brucellosis,2323
lymph node cancer metastatic,2324
ovarian mass,2325
vascular neoplasm,2326
transient ischaemic attack,2327
vascular bypass dysfunction,2328
coma,2329
terminal insomnia,2330
foreign body sensation in eyes,2331
anti-insulin antibody decreased,2332
cleft uvula,2333
light chain analysis,2334
acquired methaemoglobinaemia,2335
pancreatic islets hyperplasia,2336
acute phase reaction,2337
urinary sediment abnormal,2338
chronic lymphocytic leukaemia recurrent,2339
oesophageal ulcer haemorrhage,2340
hepatic infarction,2341
cardiac imaging procedure normal,2342
massage,2343
nephrectomy,2344
hair follicle tumour benign,2345
ventricle rupture,2346
alpha 2 globulin abnormal,2347
injection site calcification,2348
polyneuropathy alcoholic,2349
activated partial thromboplastin time,2350
scrotal gangrene,2351
c-reactive protein increased,2352
reversible ischaemic neurological deficit,2353
uterine cervix stenosis,2354
hepatic enzyme decreased,2355
trigonitis,2356
prurigo,2357
menopausal symptoms,2358
generalised non-convulsive epilepsy,2359
intervertebral disc herniation,2360
mediastinal disorder,2361
dissociative fugue,2362
benign neoplasm of adrenal gland,2363
aversion,2364
pancreatic duct obstruction,2365
perinephric collection,2366
surgical stapling,2367
clonus,2368
thyroxine free decreased,2369
empyema drainage,2370
non-cardiogenic pulmonary oedema,2371
venous bruit,2372
acquired oesophageal web,2373
lip oedema,2374
starvation,2375
parophthalmia,2376
postmenopause,2377
fibromatosis,2378
cytogenetic abnormality,2379
red blood cell morphology,2380
tongue discolouration,2381
stridor,2382
intervertebral disc injury,2383
skin necrosis,2384
microcytosis,2385
metapneumovirus infection,2386
urine human chorionic gonadotropin abnormal,2387
peripheral coldness,2388
urine cytology abnormal,2389
chloroma,2390
wolff-parkinson-white syndrome,2391
acute leukaemia,2392
subdural hygroma,2393
delayed closure of cranial sutures,2394
bone marrow disorder,2395
urogenital disorder,2396
cylindruria,2397
impaired healing,2398
congenital syphilis,2399
lipoprotein deficiency,2400
biopsy endometrium,2401
hepatosplenomegaly neonatal,2402
prostatic disorder,2403
ligament calcification,2404
traumatic shock,2405
lymphocyte percentage decreased,2406
placental transfusion syndrome,2407
pelvic inflammatory disease,2408
sensation of blood flow,2409
balloon atrial septostomy,2410
chest wall pain,2411
body temperature increased,2412
shock haemorrhagic,2413
gastrointestinal surgery,2414
bundle branch block,2415
chest crushing,2416
neuropathic ulcer,2417
fascial infection,2418
neonatal pneumonia,2419
ciliary body disorder,2420
retinal exudates,2421
developmental glaucoma,2422
postoperative constipation,2423
malignant pleural effusion,2424
retroviral infection,2425
injection site coldness,2426
electromechanical dissociation,2427
oncologic complication,2428
paraphilia,2429
reproductive system haemorrhages,2430
near syncope,2431
anorectal disorder,2432
jessner's lymphocytic infiltration,2433
myometritis,2434
blood cholinesterase decreased,2435
pain management,2436
food poisoning,2437
lip ulceration,2438
pseudomembranous colitis,2439
pancreatitis viral,2440
drug administration error,2441
adhesion,2442
paraneoplastic syndrome,2443
breast cancer recurrent,2444
renal tubular acidosis,2445
acute myeloid leukaemia,2446
overdose,2447
biopsy bladder,2448
micrognathia,2449
echolalia,2450
cardiac ablation,2451
base excess increased,2452
skin ulcer haemorrhage,2453
culture throat positive,2454
perinephric abscess,2455
lower limb fracture,2456
tracheostomy malfunction,2457
head ache,2458
postpartum disorder,2459
hypophonesis,2460
transplant abscess,2461
adenosquamous cell lung cancer,2462
"blood 1,25-dihydroxycholecalciferol decreased",2463
eczema eyelids,2464
peripheral embolism,2465
perineurial cyst,2466
blood stem cell transplant failure,2467
optic nerve neoplasm,2468
pneumothorax traumatic,2469
pedal pulse absent,2470
effusion,2471
malignant mesenteric neoplasm,2472
spinal compression fracture,2473
varicose vein operation,2474
factor v inhibition,2475
pseudodiverticular disease,2476
troponin increased,2477
spinal fracture,2478
stag horn calculus,2479
infusion related reaction,2480
febrile bone marrow aplasia,2481
logorrhoea,2482
gerstmann's syndrome,2483
cardiac function disturbance postoperative,2484
ovarian cyst,2485
carotid artery thrombosis,2486
nasal congestion,2487
urine chloride decreased,2488
oesophageal achalasia,2489
congenital choroidal anomaly,2490
phimosis,2491
tenodesis,2492
loss of dreaming,2493
throat irritation,2494
eye burns,2495
tooth infection,2496
chlamydial infection,2497
sinus arrest,2498
vulvovaginal candidiasis,2499
muscle swelling,2500
follicular thyroid cancer,2501
perianal abscess,2502
negative thoughts,2503
osteomyelitis chronic,2504
bilirubinaemia,2505
trabeculectomy,2506
steal syndrome,2507
incoherent,2508
chest wall operation,2509
injection site pallor,2510
pseudodementia,2511
peritoneal tuberculosis,2512
atelectasis neonatal,2513
bone density decreased,2514
cervix erythema,2515
abdominal wound dehiscence,2516
retinal anomaly congenital,2517
kidney infection,2518
congenital mitral valve stenosis,2519
oral submucosal fibrosis,2520
blood growth hormone increased,2521
prostatectomy,2522
urine arsenic increased,2523
large cell carcinoma of the respiratory tract stage unspecified,2524
mental impairment,2525
limb injury,2526
scleroderma renal crisis,2527
rhabdomyoma,2528
pregnancy test,2529
pulmonary valve disease,2530
rash papular,2531
rebound effect,2532
foot operation,2533
impulse-control disorder,2534
bilirubinuria,2535
anastomotic leak,2536
pseudomonas pseudomallei infection,2537
feeling drunk,2538
echocardiogram,2539
postoperative wound complication,2540
post procedural bile leak,2541
biliary sepsis,2542
hypotonia neonatal,2543
blood aldosterone decreased,2544
laryngeal pain,2545
depressed mood,2546
epistaxis,2547
hepatic failure,2548
hepatitis d,2549
proteus infection,2550
rectal spasm,2551
long qt syndrome,2552
hay fever,2553
biopsy breast,2554
laryngitis fungal,2555
wheelchair user,2556
injection site nerve damage,2557
fibroadenoma of breast,2558
csf pressure increased,2559
hand deformity,2560
blood acid phosphatase increased,2561
bacteria wound identified,2562
bile duct cancer stage iii,2563
neurodermatitis,2564
arteriovenous fistula operation,2565
burkitt's leukaemia,2566
rib excision,2567
papule,2568
chromosome abnormality,2569
corneal deposits,2570
allergic rhinitis,2571
anti-hbs antibody,2572
genitourinary chlamydia infection,2573
bile duct stenosis,2574
aptyalism,2575
ectopic kidney,2576
splenic necrosis,2577
lymphoma cutis,2578
cardiopulmonary failure,2579
fistula repair,2580
moraxella infection,2581
antiphospholipid antibodies,2582
cafe au lait spots,2583
excessive salivation,2584
infection viral,2585
tooth fracture,2586
meningitis viral,2587
diabetic gastroparesis,2588
gastrooesophageal cancer,2589
finger deformity,2590
duodenal polyp,2591
anal erosion,2592
hearing impaired,2593
tracheo-oesophageal fistula,2594
overweight,2595
drug use for unknown indication,2596
fibrin,2597
maculopathy,2598
immunosuppression,2599
injection site erosion,2600
sick relative,2601
leucocytosis,2602
cataract operation,2603
acute pulmonary histoplasmosis,2604
angiogram pulmonary,2605
hepatic vein occlusion,2606
genital abscess,2607
"follicle centre lymphoma, follicular grade i, ii, iii",2608
breast operation,2609
radiation skin injury,2610
premenstrual syndrome,2611
intestinal mass,2612
tachyphrenia,2613
congenital hypothyroidism,2614
serotonin syndrome,2615
postictal paralysis,2616
liver abscess,2617
lymphatic duct rupture,2618
acute interstitial pneumonitis,2619
transplant failure,2620
bladder agenesis,2621
reticuloendothelial dysfunction,2622
neuroendocrine tumour,2623
measles,2624
brain neoplasm benign,2625
ankle operation,2626
mitochondrial dna deletion,2627
deep vein thromboses,2628
hair colour changes,2629
gastrointestinal mucosal exfoliation,2630
enlarged clitoris,2631
diffuse panbronchiolitis,2632
hypertensive cardiomegaly,2633
angiogram,2634
neck mass,2635
autoimmune disorder,2636
periostitis hypertrophic,2637
scotoma,2638
multiple injuries,2639
ilium fracture,2640
confusion,2641
ankle reconstruction,2642
pulmonary arterial wedge pressure increased,2643
urine uric acid increased,2644
pulmonary artery atresia,2645
malignant neoplasm of eye,2646
vaginal cyst,2647
laryngocele,2648
metastases to bone marrow,2649
kidney transplant rejection,2650
globulin abnormal,2651
carboxyhaemoglobin increased,2652
sapho syndrome,2653
band neutrophil count decreased,2654
gastroenteritis bacillus,2655
gastrointestinal fistula,2656
uvulitis,2657
pancreatic operation,2658
eosinophilic pneumonia,2659
neuralgic amyotrophy,2660
retinal pigment epitheliopathy,2661
sensation of foreign body,2662
corneal leukoma,2663
renal stone removal,2664
surfactant protein increased,2665
bladder constriction,2666
reflux gastritis,2667
mesenteric occlusion,2668
endometrial cancer stage i,2669
urogenital prolapse,2670
catatonia,2671
feeling guilty,2672
coagulation factor viii level increased,2673
glycogen storage disease type v,2674
tremor,2675
high turnover osteopathy,2676
listeriosis,2677
scleral haemorrhage,2678
respiratory dyskinesia,2679
lentigo,2680
bone scan abnormal,2681
hepatitis viral,2682
blood acid phosphatase abnormal,2683
dyspeptic signs and symptoms,2684
viral hepatitis carrier,2685
chemical burn of skin,2686
obstructive airways disorder,2687
vith nerve disorder,2688
mycetoma mycotic,2689
bacterial infection,2690
facial wasting,2691
lymphadenectomy,2692
atrial thrombosis,2693
therapeutic procedure,2694
lumbar radiculopathy,2695
blood sodium increased,2696
motor retardation,2697
wound infection bacterial,2698
"arteriovenous fistula, acquired",2699
eye pruritus,2700
respiration abnormal,2701
cryptococcus antigen positive,2702
reaction to medical agent preservatives,2703
small intestine ulcer,2704
exposure to contaminated device,2705
neonatal tachypnoea,2706
gingival blister,2707
foetal haemoglobin increased,2708
hyperthyroidism,2709
ureteric fistula,2710
endocardial fibroelastosis,2711
anti-insulin receptor antibody positive,2712
iiird nerve paralysis,2713
weaning failure,2714
fungal abscess central nervous system,2715
mastoidectomy,2716
stevens-johnson syndrome,2717
libido disorder,2718
clonal evolution,2719
rash macular,2720
base excess negative,2721
csf oligoclonal band present,2722
oedema due to cardiac disease,2723
post procedural pain,2724
multiple pregnancy,2725
pharyngeal lesion,2726
optic disc haemorrhage,2727
mineral supplementation,2728
macular pigmentation,2729
diabetic bullosis,2730
paedophilia,2731
nail discolouration,2732
viral dna test positive,2733
audiogram abnormal,2734
paraparesis,2735
necrosis of artery,2736
selective abortion,2737
red blood cell acanthocytes present,2738
arteriovenous fistula,2739
hypersplenism,2740
heavy menstrual period,2741
appendicitis,2742
colitis ischemic,2743
pulmonary percussion test abnormality,2744
amputation,2745
functional residual capacity decreased,2746
mononeuropathy,2747
drug screen,2748
pneumatosis cystoides intestinalis,2749
hyperoxaluria,2750
endometrial hypertrophy,2751
cytomegalovirus test positive,2752
necrotising oesophagitis,2753
pericarditis,2754
denture wearer,2755
papillary muscle rupture,2756
hypofibrinogenaemia,2757
fracture delayed union,2758
epithelioid sarcoma,2759
oral pain,2760
ocular vasculitis,2761
rectal abscess,2762
choking,2763
metastases to soft tissue,2764
kleptomania,2765
red blood cell count abnormal,2766
progesterone receptor assay,2767
ovarian haemorrhage,2768
bone inflammation,2769
thalassaemia,2770
heart valve operation,2771
non-hodgkin's lymphoma,2772
protein s decreased,2773
adrenal insufficiency neonatal,2774
sympathectomy,2775
choledochoenterostomy,2776
csf white blood cell count increased,2777
presenile dementia,2778
aplasia pure red cell,2779
cervicitis,2780
cyclic vomiting syndrome,2781
spinal cord injury thoracic,2782
still birth,2783
ultrasound thyroid abnormal,2784
lentigo maligna stage unspecified,2785
localised infection,2786
corneal irritation,2787
cerebellar ischaemia,2788
retinal vascular thrombosis,2789
po2,2790
biliary anastomosis,2791
application site hyperaesthesia,2792
cogan's syndrome,2793
nerve injury,2794
child abuse,2795
lhermitte's sign,2796
biopsy chorionic villous abnormal,2797
gene mutation,2798
alcohol problem,2799
prostatic intraepithelial neoplasia,2800
weight bearing difficulty,2801
pulmonary hilum mass,2802
petit mal epilepsy,2803
arterial stent insertion,2804
obstructed labour,2805
hypoventilation neonatal,2806
periorbital disorder,2807
drug level increased,2808
meningitis herpes,2809
pericardial fibrosis,2810
tongue ulceration,2811
fluid intake reduced,2812
platelet aggregation decreased,2813
ulna fracture,2814
pyoderma gangrenosum,2815
ureterectomy,2816
phosphorus metabolism disorder,2817
animal scratch,2818
mumps,2819
weight loss poor,2820
carcinoma in situ of skin,2821
dislocation of vertebra,2822
sputum discoloured,2823
circumoral oedema,2824
fungal endocarditis,2825
vaginal odour,2826
blood zinc decreased,2827
caffeine consumption,2828
neoplasm recurrence,2829
retinal cyst,2830
urinary tract infection pseudomonal,2831
emotional distress,2832
medication residue,2833
urine amylase,2834
carotid artery aneurysm,2835
urine electrolytes increased,2836
pulse pressure abnormal,2837
anaphylactoid syndrome of pregnancy,2838
breast prosthesis user,2839
systemic mastocytosis,2840
trigeminal nerve ablation,2841
genital pruritus female,2842
sleep phase rhythm disturbance,2843
tubulointerstitial nephritis,2844
calcinosis,2845
red blood cells csf positive,2846
sclerema,2847
seroconversion test positive,2848
dyspepsia,2849
bladder neoplasm surgery,2850
piriformis syndrome,2851
drug administered at inappropriate site,2852
thyroid function test,2853
band neutrophil count increased,2854
lumbar puncture headache,2855
patella fracture,2856
ear haemorrhage,2857
coronary ostial stenosis,2858
electrocardiogram st-t change,2859
hereditary haemorrhagic telangiectasia,2860
compression fracture,2861
5q minus syndrome,2862
ear infection staphylococcal,2863
promyelocyte count increased,2864
medical device pain,2865
diabetic vascular disorder,2866
burkitt's lymphoma recurrent,2867
azoospermia,2868
restrictive cardiomyopathy,2869
myopathy steroid,2870
septum pellucidum agenesis,2871
ewing's sarcoma,2872
diffuse axonal injury,2873
lung adenocarcinoma recurrent,2874
phobia of flying,2875
atypical mycobacterial lymphadenitis,2876
vasoconstriction,2877
revision of internal fixation,2878
neovascularisation,2879
vasospasm,2880
neurodevelopmental disorder,2881
angiosclerosis,2882
anogenital dysplasia,2883
tuberculosis of eye,2884
post polio syndrome,2885
blood copper abnormal,2886
varicose vein,2887
injection site discomfort,2888
hypogeusia,2889
rhinovirus infection,2890
androgens decreased,2891
colon gangrene,2892
yawning,2893
intertrigo candida,2894
endodontic procedure,2895
gastrointestinal stenosis,2896
expressive language disorder,2897
maternal use of illicit drugs,2898
mean arterial pressure decreased,2899
protein c increased,2900
phosphenes,2901
drug therapy,2902
volume blood decreased,2903
post procedural haematuria,2904
abnormal palmar/plantar creases,2905
splenic abscess,2906
gastrointestinal mucositis,2907
foetor hepaticus,2908
anaemic hypoxia,2909
dental examination,2910
eye infection,2911
amphetamines,2912
diabetes mellitus,2913
haematomyelia,2914
uterine rupture,2915
temporal arteritis,2916
ovarian adenoma,2917
syndesmophyte,2918
debridement,2919
chronic lymphocytic leukaemia stage 4,2920
drug hypersensitivity,2921
abdominal wall infection,2922
dilatation intrahepatic duct congenital,2923
factor ix inhibition,2924
atrial natriuretic peptide increased,2925
neonatal hypoxia,2926
catecholamines urine,2927
apoplexy,2928
rectal polyp,2929
benign peritoneal neoplasm,2930
gastrostomy closure,2931
aneurysm,2932
floaters,2933
blood pressure fluctuation,2934
pityriasis alba,2935
splenic marginal zone lymphoma,2936
lung neoplasms,2937
blood creatinine,2938
porphyrins urine increased,2939
laryngomalacia,2940
ureteral catheterisation,2941
enteritis infectious,2942
hypercalcaemia,2943
pregnancy with advanced maternal age,2944
ileorectal fistula,2945
glycosylated haemoglobin increased,2946
conjoined twins,2947
coordination abnormal,2948
accidental overdose,2949
iron metabolism disorder,2950
eye pain,2951
maternal death affecting foetus,2952
chondroma,2953
lactation disorder,2954
blood prolactin abnormal,2955
maxillofacial operation,2956
chemical burns of eye,2957
bladder trabeculation,2958
uterine cervical laceration,2959
cerebral hypoperfusion,2960
chondrolysis,2961
gastrointestinal tube removal,2962
muscle abscess,2963
congenital anomaly of adrenal gland,2964
therapy non-responder,2965
oesophageal tuberculosis,2966
mesothelioma malignant,2967
drug screen negative,2968
fatal outcomes,2969
alopecia universalis,2970
epiphyses premature fusion,2971
acute pulmonary oedema,2972
myotonia congenita,2973
sudden death,2974
abdominal compartment syndrome,2975
abdominal wall disorder,2976
endocrine test abnormal,2977
emphysematous cholecystitis,2978
hilar lymphadenopathy,2979
spondyloarthropathy,2980
barotitis media,2981
eagle barrett syndrome,2982
aids related complication,2983
intestinal villi atrophy,2984
pericardial excision,2985
adrenal gland cancer metastatic,2986
femoral artery aneurysm,2987
accommodation disorder,2988
asterixis,2989
aseptic necrosis bone,2990
transient acantholytic dermatosis,2991
tuberculosis skin test positive,2992
familial risk factor,2993
night cramps,2994
visceral oedema,2995
anal stenosis,2996
urethritis noninfective,2997
yellow skin,2998
no adverse effect,2999
fontanelle bulging,3000
cytoreductive surgery,3001
cardioversion,3002
nail atrophy,3003
abortion spontaneous incomplete,3004
non-hodgkin's lymphoma recurrent,3005
tooth delamination,3006
post coital bleeding,3007
ear tube insertion,3008
murphy's sign positive,3009
albumin globulin ratio decreased,3010
economic problem,3011
choroidal detachment,3012
pneumoperitoneum,3013
pneumopericardium,3014
fibroadenoma,3015
angioplasty,3016
colon adenoma,3017
sputum retention,3018
bone disorder,3019
auricular perichondritis,3020
ocular vascular disorder,3021
ventricular arrhythmia,3022
swelling face,3023
biopsy endometrium abnormal,3024
elbow operation,3025
conduct disorder,3026
cerebral vasoconstriction,3027
coeliac artery stenosis,3028
vitamin a increased,3029
oropharyngeal cancer stage ii,3030
sacroiliitis,3031
tanning,3032
uterine hypertonus,3033
krabbe's disease,3034
pancreatic disorder,3035
drug physiologic incompatibility,3036
atrial flutter,3037
negativism,3038
hot flash,3039
enterocolitis infectious,3040
heart rate abnormal,3041
bronchoalveolar lavage abnormal,3042
blood cortisol increased,3043
radiculotomy,3044
congenital spinal fusion,3045
exploratory operation,3046
decreased hearing,3047
x-ray dental,3048
disorder of globe,3049
phlebitis superficial,3050
retinoschisis,3051
mycotic allergy,3052
blood urine,3053
catheter placement,3054
gallbladder cancer metastatic,3055
pyromania,3056
body mass index decreased,3057
fear of weight gain,3058
pneumonia fungal,3059
bezoar,3060
adenoma,3061
parotid gland enlargement,3062
"delusions, mixed",3063
tooth resorption,3064
pre-eclampsia,3065
stargardt's disease,3066
negative cardiac inotropic effect,3067
femoral artery dissection,3068
blood immunoglobulin g,3069
hoigne's syndrome,3070
nephropathy toxic,3071
growth accelerated,3072
olfactory nerve disorder,3073
sarcoma metastatic,3074
laryngopharyngitis,3075
positron emission tomogram abnormal,3076
hemihypertrophy,3077
skin toxicity,3078
application site cellulitis,3079
semen analysis abnormal,3080
breast dysplasia,3081
radiation mucositis,3082
ganglioneuroma,3083
acute sinusitis,3084
capillary fragility,3085
leukaemic infiltration extramedullary,3086
congenital cerebellar agenesis,3087
bicytopenia,3088
acute myeloblastic leukemia,3089
urethral cyst,3090
impulsive behaviour,3091
metastases to lymph nodes,3092
hepatopulmonary syndrome,3093
coronary artery surgery,3094
asthma exercise induced,3095
oral mucosal petechiae,3096
bleb,3097
ecthyma,3098
post procedural headache,3099
urine osmolarity increased,3100
phaehyphomycosis,3101
intervertebral disc displacement,3102
inspiratory capacity decreased,3103
animal phobia,3104
purulent discharge,3105
cataract,3106
penile prosthesis insertion,3107
anorectal operation,3108
ventricular hypoplasia,3109
gait spastic,3110
progesterone increased,3111
hodgkin's disease,3112
vertebral column mass,3113
elastosis perforans,3114
pregnancy test false positive,3115
torus fracture,3116
uterine inversion,3117
tobacco abuse,3118
conjunctival erosion,3119
periorbital haematoma,3120
tunnel vision,3121
device intolerance,3122
post procedural infection,3123
refractory cytopenia with multilineage dysplasia,3124
breast cancer female,3125
artificial crown procedure,3126
epididymal infection,3127
bronchial obstruction,3128
empyema,3129
blood elastase increased,3130
haemorrhoid operation,3131
ventricular extrasystoles,3132
bursa disorder,3133
b-cell lymphoma,3134
gastrointestinal oedema,3135
hippocampal sclerosis,3136
laryngospasm,3137
bladder cancer recurrent,3138
mean cell volume,3139
polyomavirus interstitial nephritis,3140
meningioma,3141
granulocyte count decreased,3142
laryngeal polyp,3143
familial mediterranean fever,3144
nasal cavity cancer,3145
vision blurred,3146
clotting factor transfusion,3147
crackles lung,3148
theft,3149
prostatic mass,3150
oppositional defiant disorder,3151
electrocardiogram qt corrected interval,3152
serum sickness-like reaction,3153
respiratory failure,3154
biliary dilatation,3155
mantle cell lymphoma,3156
masked facies,3157
malignant hypertension,3158
uterine contractions during pregnancy,3159
multiple endocrine adenomatosis type i,3160
tonsil cancer,3161
veillonella infection,3162
teratospermia,3163
mediastinal fibrosis,3164
ear canal injury,3165
mpd,3166
blood viscosity increased,3167
fungus urine test positive,3168
culdoplasty,3169
arteriosclerosis obliterans,3170
application site infection,3171
leukocyte alkaline phosphatase increased,3172
thyroiditis subacute,3173
motor dysfunction,3174
csf shunt removal,3175
contracted bladder,3176
fungal dna test positive,3177
afib,3178
feeling of relaxation,3179
carditis,3180
gingivectomy,3181
scar excision,3182
nutritional support,3183
necrotising herpetic retinopathy,3184
conjunctivitis infective,3185
meniscus lesion,3186
pulmonary congestion,3187
procedural hypertension,3188
ischaemic coronary artery disorders,3189
vaginal oedema,3190
rhinoplasty,3191
gouty arthritis,3192
traumatic haemorrhage,3193
vaginal ulceration,3194
haemoglobin abnormal,3195
water intoxication,3196
application site pallor,3197
anosmia,3198
injection site pain,3199
gingival injury,3200
vaginitis atrophic,3201
chronic hepatitis b,3202
incision site pain,3203
blood glucose fluctuation,3204
brain natriuretic peptide decreased,3205
kidney failure,3206
paresis cranial nerve,3207
pregnancy with implant contraceptive,3208
colorectal cancer stage iv,3209
urine calcium decreased,3210
base excess,3211
ex-tobacco user,3212
endothelial dysfunction,3213
exercise electrocardiogram abnormal,3214
chromaturia,3215
labile blood pressure,3216
renal salt-wasting syndrome,3217
product taste abnormal,3218
cochlea implant,3219
radiation interaction,3220
dyslogia,3221
mammogram,3222
modified radical mastectomy,3223
oral bacterial infection,3224
blood chromogranin a increased,3225
transient global amnesia,3226
increased viscosity of bronchial secretion,3227
vascular resistance systemic,3228
psychomotor skills impaired,3229
dihydropyrimidine dehydrogenase deficiency,3230
desquamation mouth,3231
black stools,3232
creatinine renal clearance abnormal,3233
aortic disorder,3234
obstructive uropathy,3235
enterocolitis,3236
skin test positive,3237
onychorrhexis,3238
easy bruisability,3239
hyperuricaemia,3240
renal artery stent placement,3241
feeding problem in child,3242
chondropathy,3243
oesophageal obstruction,3244
skin graft failure,3245
